Age,WorkClass,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Income,fnlwgt
30,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K,192352
25,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Mexico,<=50K,195322
21,Private,Assoc-voc,11,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,142789
49,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K,192776
25,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K,102342
30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,190290
53,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,>50K,180211
49,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,186934
24,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,289982
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K,193997
50,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,234721
44,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5178,0,60,United-States,>50K,234184
57,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,234322
39,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,60,United-States,>50K,193882
46,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,128767
55,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,<=50K,176556
18,?,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K,120277
39,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,50,United-States,>50K,212448
34,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,<=50K,180211
35,Private,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K,198202
48,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,45,Philippines,>50K,214543
56,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,45,United-States,<=50K,123456
20,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K,128237
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,Mexico,<=50K,280282
44,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K,134768
36,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K,287828
33,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,192002
51,Private,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,Ireland,<=50K,123011
42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,212465
55,Private,Masters,14,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,Thailand,<=50K,102308
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,United-States,>50K,217597
43,Private,Masters,14,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,159937
41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,301724
46,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,234721
61,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,192002
31,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,214542
39,Federal-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,128052
18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,109998
23,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,32,United-States,<=50K,210764
31,Private,9th,5,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,198216
33,Private,Doctorate,16,Divorced,Sales,Not-in-family,White,Male,99999,0,60,United-States,>50K,182556
42,Self-emp-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K,204235
26,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,52,United-States,>50K,289980
31,Private,Assoc-acdm,12,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,123456
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K,198183
21,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K,123456
27,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,195543
58,Federal-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,234741
36,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K,212465
36,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K,212465
17,Private,10th,6,Never-married,Other-service,Own-child,White,Female,0,1602,10,United-States,<=50K,89821
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,2176,0,40,United-States,<=50K,243368
59,Private,Masters,14,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,237865
28,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K,123456
30,Private,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,30,United-States,<=50K,198284
36,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,245918
17,Private,11th,7,Never-married,Other-service,Own-child,Black,Male,0,0,16,Haiti,<=50K,225619
59,Private,9th,5,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,Mexico,<=50K,102308
38,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,212448
26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K,189759
20,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1573,40,United-States,<=50K,119156
50,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,234721
29,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,132879
27,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,190525
32,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,<=50K,123456
33,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K,237865
54,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,234721
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,234352
52,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,236596
65,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,191846
22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,198282
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K,210547
43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,>50K,234725
35,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K,123456
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,203488
32,?,HS-grad,9,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K,234721
60,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,189759
66,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,>50K,193708
36,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,193882
21,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K,234725
48,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,193884
47,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,45,United-States,>50K,178141
26,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,37,United-States,<=50K,212448
23,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,147215
73,?,10th,6,Never-married,?,Not-in-family,White,Male,0,0,4,United-States,<=50K,123456
26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,196587
31,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,193776
46,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,207578
55,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K,245312
50,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,37,?,>50K,182148
38,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,176410
28,?,11th,7,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K,210563
35,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,7688,0,20,United-States,>50K,165799
34,Private,11th,7,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K,243867
29,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,2202,0,40,Taiwan,<=50K,154078
42,Private,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,38,United-States,<=50K,154374
42,Private,9th,5,Separated,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,<=50K,217381
41,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Yugoslavia,<=50K,287372
23,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,190483
47,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,36,United-States,>50K,204524
34,Self-emp-inc,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,102308
40,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,42,Cambodia,<=50K,123456
59,Local-gov,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,40,Poland,<=50K,234721
39,Private,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,182148
25,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,178425
34,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,40,China,>50K,198282
29,?,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K,191535
42,Local-gov,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,4650,0,35,United-States,<=50K,182312
59,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,189759
29,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,190998
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K,189759
36,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,193868
34,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,123456
32,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K,153342
35,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,0,0,50,Haiti,<=50K,234327
31,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,204516
38,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,102345
17,Private,10th,6,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,23,United-States,<=50K,148470
41,Federal-gov,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,>50K,193997
42,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,204235
23,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,<=50K,192835
28,Local-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,4101,0,60,United-States,<=50K,203034
24,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,198202
59,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,237865
33,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,212448
23,?,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K,211678
29,State-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,36,United-States,<=50K,102345
41,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K,198216
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,180211
50,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,175262
43,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,154374
52,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,132142
37,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,48,United-States,<=50K,162034
60,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,221057
45,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,142321
25,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K,218956
24,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,191954
45,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,234672
36,Self-emp-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,57,United-States,<=50K,234184
36,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,>50K,301248
62,Private,Assoc-voc,11,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,20,United-States,<=50K,193663
20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,109998
42,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,142897
57,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States,>50K,174295
61,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States,<=50K,193997
48,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,50,United-States,>50K,196872
60,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,197654
17,Private,11th,7,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K,148470
21,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,243368
50,Private,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,Cuba,<=50K,120131
40,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,234567
61,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,205759
58,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,234324
46,State-gov,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K,212565
20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,128768
39,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K,176186
58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,245215
39,Private,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,215646
32,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,212465
36,Private,HS-grad,9,Divorced,Transport-moving,Own-child,White,Male,0,0,60,United-States,<=50K,301248
73,State-gov,7th-8th,4,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,134446
39,Private,Bachelors,13,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,1564,50,?,>50K,190342
36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,>50K,198763
32,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,198693
21,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States,<=50K,198202
47,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K,234721
37,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,22463
17,Private,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K,312956
32,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K,178264
32,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Other,Female,0,0,40,United-States,<=50K,178283
36,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,0,50,?,<=50K,104352
64,Self-emp-not-inc,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Female,0,0,8,United-States,<=50K,128767
27,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,4416,0,40,United-States,<=50K,219619
49,Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,234706
41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K,198216
22,?,12th,8,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K,213512
42,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K,123011
32,?,Some-college,10,Never-married,?,Unmarried,White,Female,0,0,40,United-States,<=50K,189759
17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,Peru,<=50K,153798
31,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1579,40,United-States,<=50K,243605
30,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,142897
26,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,28,United-States,<=50K,123456
59,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,2885,0,30,United-States,<=50K,123456
19,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,193862
45,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,189123
49,Private,10th,6,Separated,Exec-managerial,Not-in-family,Black,Male,4416,0,99,United-States,<=50K,162312
17,Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,<=50K,34512
46,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,234721
17,Private,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,68962
46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,128947
30,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,193882
