Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Income
47,Private,191411,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,India,<=50K
46,Local-gov,375675,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States,<=50K
46,Private,585361,9th,5,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
45,Private,112283,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
20,Private,291979,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,20,United-States,<=50K
28,Private,226891,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,30,?,<=50K
24,Private,211968,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,24,United-States,<=50K
40,Self-emp-not-inc,45093,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,Canada,<=50K
27,Private,122038,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
22,State-gov,22966,Some-college,10,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,20,United-States,<=50K
24,Private,236696,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
75,Self-emp-inc,98116,Some-college,10,Widowed,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
54,Private,280292,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,32,United-States,<=50K
84,Private,241065,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,66,United-States,<=50K
23,Private,120910,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K
78,?,33186,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,60,United-States,<=50K
18,Private,45316,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
71,Private,193530,11th,7,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,75,United-States,<=50K
61,?,135285,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,2603,32,United-States,<=50K
47,State-gov,223944,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
48,Private,247895,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,<=50K
42,Private,279914,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,143058,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,>50K
27,Private,116531,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,194861,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
20,Private,117244,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,45,United-States,<=50K
39,Private,172538,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
36,Private,201769,11th,7,Never-married,Protective-serv,Not-in-family,Black,Male,13550,0,40,United-States,<=50K
57,Private,127779,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
56,Self-emp-not-inc,73746,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,180052,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
33,Private,162930,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Italy,<=50K
26,Private,177147,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,138760,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
43,Private,307767,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,202373,Assoc-voc,11,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
58,Federal-gov,30111,Some-college,10,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
23,Private,322674,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,288566,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,112181,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,12,United-States,<=50K
34,Local-gov,246104,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,<=50K
23,Private,435604,Assoc-voc,11,Separated,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,208872,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,117567,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,107630,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,186886,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,55,United-States,<=50K
20,Private,373935,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
58,Private,97562,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,38,United-States,<=50K
60,Private,24872,Some-college,10,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,0,30,United-States,<=50K
60,Self-emp-not-inc,170114,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1672,84,United-States,<=50K
56,Private,98361,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K
33,Private,124827,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,41610,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,386397,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
63,Private,201631,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
47,Private,167787,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
51,Local-gov,240358,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
59,Self-emp-not-inc,201263,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,55,United-States,>50K
33,Private,264936,HS-grad,9,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
83,Self-emp-inc,272248,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K
27,Private,158156,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,42,United-States,<=50K
38,Local-gov,216129,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,Black,Female,0,0,35,United-States,<=50K
19,Private,552354,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
51,Private,384248,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,50,United-States,<=50K
36,Private,386726,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,44,United-States,<=50K
35,Private,298635,Bachelors,13,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States,<=50K
39,Self-emp-not-inc,188335,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
64,?,200017,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,20,United-States,<=50K
52,Private,160703,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,>50K
40,Private,226608,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,30,Guatemala,<=50K
41,Private,126850,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
24,?,203076,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,318331,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
40,Local-gov,33274,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
37,Self-emp-not-inc,111129,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
25,Private,96268,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
48,Private,152953,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32,Dominican-Republic,<=50K
34,Private,118584,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,183612,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
23,Private,86065,12th,8,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
31,Private,211334,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,65,United-States,>50K
27,Private,139903,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K
37,Private,329026,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
55,Private,101524,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,181772,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,76773,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,33121,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,<=50K
29,?,142443,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,25,United-States,<=50K
20,Private,158206,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
43,Private,75742,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
34,Local-gov,255098,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
34,Private,178615,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,State-gov,78291,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Private,387430,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,18,United-States,<=50K
29,Self-emp-not-inc,241431,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
20,?,121313,10th,6,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,259931,11th,7,Separated,Machine-op-inspct,Other-relative,White,Male,0,0,30,United-States,<=50K
57,Private,319733,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poland,<=50K
30,Private,224377,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,177125,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20,United-States,<=50K
30,Local-gov,102130,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Self-emp-inc,107218,Some-college,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,55,United-States,>50K
36,Private,172129,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,116632,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
44,Private,169980,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,60,United-States,>50K
58,Private,322013,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
52,Self-emp-inc,179951,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
66,?,129476,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,6,United-States,<=50K
46,Private,604380,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
49,State-gov,154493,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,44,United-States,<=50K
46,Private,201699,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,83045,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,205975,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
55,Self-emp-inc,183869,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,?,<=50K
28,Private,435842,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,703107,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,Private,26781,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
25,Private,188507,7th-8th,4,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,Dominican-Republic,<=50K
23,Private,60331,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
32,Private,153078,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,South,<=50K
21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
20,Private,278391,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,Nicaragua,<=50K
30,Private,219318,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,35,Puerto-Rico,<=50K
