target,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315_of_diluted_wines,proline
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.37,0.94,10.6,"10.6, magnesium = 88, total_phenols = 1.98, flavanoids = 0.57, nonflavanoid_phenols = 0.28, proanthocyanins = 0.42, color_intensity = 1.95, hue = 1.05, od280_od315_of_diluted_wines = 1.82, proline = 52",88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
2,12.52,2.43,21.0,"21.0, magnesium = 88, total_phenols = 2.55, flavanoids = 2.27, nonflavanoid_phenols = 0.26, proanthocyanins = 1.22, color_intensity = 2.00, hue = 0.9, od280_od315_of_diluted_wines = 2.78, proline = 32",88,2.55,2.27,0.26,1.22,2.00,0.9,2.78,325
1,13.87,1.90,19.4,"19.4, magnesium = 107, total_phenols = 2.95, flavanoids = 2.97, nonflavanoid_phenols = 0.37, proanthocyanins = 1.76, color_intensity = 4.50, hue = 1.25, od280_od315_of_diluted_wines = 3.40, proline = 91",107,2.95,2.97,0.37,1.76,4.50,1.25,3.40,915
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450.",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0
2,12.64,1.36,16.8,"16.8, magnesium = 100, total_phenols = 2.02, flavanoids = 1.41, nonflavanoid_phenols = 0.53, proanthocyanins = 0.62, color_intensity = 5.75, hue = 0.98, od280_od315_of_diluted_wines = 1.59, proline = 45",100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450
1,13.41,1.84,18.8,"18.8, magnesium = 90, total_phenols = 2.45, flavanoids = 2.68, nonflavanoid_phenols = 0.27, proanthocyanins = 1.48, color_intensity = 4.28, hue = 0.91, od280_od315_of_diluted_wines = 3.0, proline = 103",90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035
1,14.3,1.92,20.0,"20.0, magnesium = 120, total_phenols = 2.8, flavanoids = 3.14, nonflavanoid_phenols = 0.33, proanthocyanins = 1.97, color_intensity = 6.2, hue = 1.07, od280_od315_of_diluted_wines = 2.65, proline = 128",120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280
2,12.33,1.10,16.0,"16.0, magnesium = 101, total_phenols = 2.05, flavanoids = 1.09, nonflavanoid_phenols = 0.63, proanthocyanins = 0.41, color_intensity = 3.27, hue = 1.25, od280_od315_of_diluted_wines = 1.67, proline = 68",101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680
2,12.37,1.07,18.5,"18.5, magnesium = 88.0, total_phenols = 3.52, flavanoids = 3.75, nonflavanoid_phenols = 0.24, proanthocyanins = 1.95, color_intensity = 4.50, hue = 1.04, od280_od315_of_diluted_wines = 2.77, proline = 660.",88.0,3.52,3.75,0.24,1.95,4.50,1.04,2.77,660.0
1,13.51,1.8,19.0,"19.0, magnesium = 110, total_phenols = 2.35, flavanoids = 2.53, nonflavanoid_phenols = 0.29, proanthocyanins = 1.54, color_intensity = 4.2, hue = 1.1, od280_od315_of_diluted_wines = 2.87, proline = 109",110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.2, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.2,2.45,0.4,1.9,2.12,0.89,2.78,342
1,13.29,1.97,16.8,"16.8, magnesium = 102, total_phenols = 3.0, flavanoids = 3.23, nonflavanoid_phenols = 0.31, proanthocyanins = 1.66, color_intensity = 6.0, hue = 1.07, od280_od315_of_diluted_wines = 2.84, proline = 127",102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270
2,12.45,3.03,27.0,"27.0, magnesium = 97.0, total_phenols = 1.90, flavanoids = 0.58, nonflavanoid_phenols = 0.63, proanthocyanins = 1.14, color_intensity = 7.50, hue = 0.67, od280_od315_of_diluted_wines = 1.73, proline = 88",97.0,1.90,0.58,0.63,1.14,7.50,0.67,1.73,880
2,12.37,1.13,19.0,"19.0, magnesium = 87, total_phenols = 3.5, flavanoids = 3.1, nonflavanoid_phenols = 0.19, proanthocyanins = 1.87, color_intensity = 4.45, hue = 1.22, od280_od315_of_diluted_wines = 2.87, proline = 42",87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420
2,12.25,1.73,19.0,"19.0, magnesium = 80.0, total_phenols = 1.65, flavanoids = 2.03, nonflavanoid_phenols = 0.37, proanthocyanins = 1.63, color_intensity = 3.4, hue = 1.0, od280_od315_of_diluted_wines = 3.17, proline = 51",80.0,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510
2,12.08,1.39,22.5,"22.5, magnesium = 84, total_phenols = 2.56, flavanoids = 2.29, nonflavanoid_phenols = 0.43, proanthocyanins = 1.04, color_intensity = 2.9, hue = 0.93, od280_od315_of_diluted_wines = 3.19, proline = 38",84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385
2,12.84,2.96,24.0,"24.0, magnesium = 101, total_phenols = 2.32, flavanoids = 0.6, nonflavanoid_phenols = 0.53, proanthocyanins = 0.81, color_intensity = 4.92, hue = 0.89, od280_od315_of_diluted_wines = 2.15, proline = 59",101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590
2,12.37,0.94,10.6,"10.6, magnesium = 88, total_phenols = 1.98, flavanoids = 0.57, nonflavanoid_phenols = 0.28, proanthocyanins = 0.42, color_intensity = 1.95, hue = 1.05, od280_od315_of_diluted_wines = 1.82, proline = 52",88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
2,12.52,2.43,21.0,"21.0, magnesium = 88, total_phenols = 2.55, flavanoids = 2.27, nonflavanoid_phenols = 0.26, proanthocyanins = 1.22, color_intensity = 2.0, hue = 0.9, od280_od315_of_diluted_wines = 2.78, proline = 32",88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325
2,12.72,1.75,22.5,"22.5, magnesium = 84, total_phenols = 1.38, flavanoids = 1.76, nonflavanoid_phenols = 0.48, proanthocyanins = 1.63, color_intensity = 3.3, hue = 0.88, od280_od315_of_diluted_wines = 2.42, proline = 48",84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488
1,13.05,1.77,17.0,"17.0, magnesium = 107, total_phenols = 3.0, flavanoids = 3.0, nonflavanoid_phenols = 0.28, proanthocyanins = 2.03, color_intensity = 5.04, hue = 0.88, od280_od315_of_diluted_wines = 3.35, proline = 88",107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.00, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.00,0.27,1.04,4.68,1.12,3.48,510
1,13.76,1.53,19.5,"19.5, magnesium = 132, total_phenols = 2.95, flavanoids = 2.74, nonflavanoid_phenols = 0.5, proanthocyanins = 1.35, color_intensity = 5.4, hue = 1.25, od280_od315_of_diluted_wines = 3.0, proline = 123",132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235
1,13.24,2.59,21.0,"21.0, magnesium = 118, total_phenols = 2.8, flavanoids = 2.69, nonflavanoid_phenols = 0.39, proanthocyanins = 1.82, color_intensity = 4.32, hue = 1.04, od280_od315_of_diluted_wines = 2.93, proline = 73",118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
1,14.2,1.76,15.2,"15.2, magnesium = 112, total_phenols = 3.27, flavanoids = 3.39, nonflavanoid_phenols = 0.34, proanthocyanins = 1.97, color_intensity = 6.75, hue = 1.05, od280_od315_of_diluted_wines = 3.4, proline = 105",112,3.27,3.39,0.34,1.97,6.75,1.05,3.4,1050
2,12.37,1.13,19.0,"19.0, magnesium = 87.0, total_phenols = 3.50, flavanoids = 3.10, nonflavanoid_phenols = 0.19, proanthocyanins = 1.87, color_intensity = 4.45, hue = 1.22, od280_od315_of_diluted_wines = 2.87, proline = 42",87.0,3.50,3.10,0.19,1.87,4.45,1.22,2.87,420
2,12.47,1.52,19.0,"19.0, magnesium = 162, total_phenols = 2.50, flavanoids = 2.27, nonflavanoid_phenols = 0.32, proanthocyanins = 3.28, color_intensity = 2.60, hue = 1.16, od280_od315_of_diluted_wines = 2.63, proline = 93",162,2.50,2.27,0.32,3.28,2.60,1.16,2.63,937
2,12.29,1.61,20.4,"20.4, magnesium = 103.0, total_phenols = 1.1, flavanoids = 1.02, nonflavanoid_phenols = 0.37, proanthocyanins = 1.46, color_intensity = 3.05, hue = 0.906, od280_od315_of_diluted_wines = 1.82, proline = 87",103.0,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.0, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510
1,13.56,1.71,16.2,"16.2, magnesium = 117.0, total_phenols = 3.15, flavanoids = 3.29, nonflavanoid_phenols = 0.34, proanthocyanins = 2.34, color_intensity = 6.13, hue = 0.95, od280_od315_of_diluted_wines = 3.38, proline = 795.",117.0,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795.0
2,12.29,1.41,16.0,"16.0, magnesium = 85.0, total_phenols = 2.55, flavanoids = 2.50, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.90, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 428.",85.0,2.55,2.50,0.29,1.77,2.90,1.23,2.74,428.0
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.37,0.94,10.6,"10.6, magnesium = 88, total_phenols = 1.98, flavanoids = 0.57, nonflavanoid_phenols = 0.28, proanthocyanins = 0.42, color_intensity = 1.95, hue = 1.05, od280_od315_of_diluted_wines = 1.82, proline = 52",88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
2,12.47,1.52,19.0,"19.0, magnesium = 162, total_phenols = 2.50, flavanoids = 2.27, nonflavanoid_phenols = 0.32, proanthocyanins = 3.28, color_intensity = 2.60, hue = 1.16, od280_od315_of_diluted_wines = 2.63, proline = 93",162,2.50,2.27,0.32,3.28,2.60,1.16,2.63,937
2,12.29,1.41,16.0,"16.0, magnesium = 85, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 42",85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
1,13.58,1.66,19.1,"19.1, magnesium = 106, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.9, hue = 1.09, od280_od315_of_diluted_wines = 2.88, proline = 151",106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
1,13.42,1.77,22.5,"22.5, magnesium = 108, total_phenols = 2.62, flavanoids = 3.27, nonflavanoid_phenols = 0.34, proanthocyanins = 1.95, color_intensity = 4.28, hue = 1.09, od280_od315_of_diluted_wines = 3.18, proline = 71",108,2.62,3.27,0.34,1.95,4.28,1.09,3.18,714
2,12.34,2.45,21.0,"21.0, magnesium = 98.0, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.8, hue = 0.8, od280_od315_of_diluted_wines = 3.38, proline = 438.",98.0,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438.0
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.00, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.00,0.27,1.04,4.68,1.12,3.48,510
2,11.9,1.71,24.0,"24.0, magnesium = 133, total_phenols = 3.05, flavanoids = 3.39, nonflavanoid_phenols = 0.21, proanthocyanins = 2.14, color_intensity = 6.1, hue = 0.91, od280_od315_of_diluted_wines = 3.33, proline = 98",133,3.05,3.39,0.21,2.14,6.1,0.91,3.33,985
2,12.61,1.51,16.8,"16.8, magnesium = 121, total_phenols = 2.61, flavanoids = 2.88, nonflavanoid_phenols = 0.27, proanthocyanins = 1.69, color_intensity = 3.8, hue = 1.11, od280_od315_of_diluted_wines = 4.0, proline = 103",121,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.29,1.61,20.4,"20.4, magnesium = 103, total_phenols = 1.10, flavanoids = 1.02, nonflavanoid_phenols = 0.37, proanthocyanins = 1.46, color_intensity = 3.05, hue = 0.906, od280_od315_of_diluted_wines = 1.82, proline = 87",103,1.10,1.02,0.37,1.46,3.05,0.906,1.82,870
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.40, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.40,1.9,2.12,0.89,2.78,342
2,12.25,1.73,19.0,"19.0, magnesium = 80, total_phenols = 1.65, flavanoids = 2.03, nonflavanoid_phenols = 0.37, proanthocyanins = 1.63, color_intensity = 3.40, hue = 1.00, od280_od315_of_diluted_wines = 3.17, proline = 51",80,1.65,2.03,0.37,1.63,3.40,1.00,3.17,510
1,13.56,1.73,20.5,"20.5, magnesium = 116, total_phenols = 2.96, flavanoids = 2.78, nonflavanoid_phenols = 0.20, proanthocyanins = 2.45, color_intensity = 6.25, hue = 0.98, od280_od315_of_diluted_wines = 3.03, proline = 112",116,2.96,2.78,0.20,2.45,6.25,0.98,3.03,1120
1,13.28,1.64,15.5,"15.5, magnesium = 110, total_phenols = 2.6, flavanoids = 2.68, nonflavanoid_phenols = 0.34, proanthocyanins = 1.36, color_intensity = 4.6, hue = 1.09, od280_od315_of_diluted_wines = 2.78, proline = 88",110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
2,12.33,0.99,14.8,"14.8, magnesium = 136.0, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
1,14.20,1.76,15.2,"15.2, magnesium = 112, total_phenols = 3.27, flavanoids = 3.39, nonflavanoid_phenols = 0.34, proanthocyanins = 1.97, color_intensity = 6.75, hue = 1.05, od280_od315_of_diluted_wines = 2.85, proline = 145",112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.33,3.27,21.5,"21.5, magnesium = 98, total_phenols = 2.45, flavanoids = 2.25, nonflavanoid_phenols = 0.25, proanthocyanins = 1.99, color_intensity = 5.0, hue = 1.04, od280_od315_of_diluted_wines = 2.77, proline = 68",98,2.45,2.25,0.25,1.99,5.0,1.04,2.77,680
2,12.36,3.83,21.0,"21.0, magnesium = 88, total_phenols = 2.30, flavanoids = 0.92, nonflavanoid_phenols = 0.50, proanthocyanins = 1.04, color_intensity = 7.65, hue = 0.56, od280_od315_of_diluted_wines = 1.58, proline = 52",88,2.30,0.92,0.50,1.04,7.65,0.56,1.58,520
2,12.29,1.41,16.0,"16.0, magnesium = 85.0, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 42",85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
2,12.34,1.67,16.5,"16.5, magnesium = 105, total_phenols = 2.5, flavanoids = 2.52, nonflavanoid_phenols = 0.3, proanthocyanins = 1.98, color_intensity = 5.04, hue = 0.89, od280_od315_of_diluted_wines = 3.38, proline = 46",105,2.5,2.52,0.3,1.98,5.04,0.89,3.38,463
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.84,2.96,24.0,"24.0, magnesium = 101, total_phenols = 2.32, flavanoids = 0.6, nonflavanoid_phenols = 0.53, proanthocyanins = 0.81, color_intensity = 4.92, hue = 0.89, od280_od315_of_diluted_wines = 2.15, proline = 59",101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590
2,12.72,1.81,18.8,"18.8, magnesium = 86.0, total_phenols = 2.20, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 714.",86.0,2.20,2.53,0.26,1.77,3.9,1.16,3.14,714.0
2,12.08,1.83,18.5,"18.5, magnesium = 81, total_phenols = 1.60, flavanoids = 1.50, nonflavanoid_phenols = 0.52, proanthocyanins = 1.64, color_intensity = 2.40, hue = 1.08, od280_od315_of_diluted_wines = 2.27, proline = 48",81,1.60,1.50,0.52,1.64,2.40,1.08,2.27,480
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.37,0.94,10.6,"10.6, magnesium = 88, total_phenols = 1.98, flavanoids = 0.57, nonflavanoid_phenols = 0.28, proanthocyanins = 0.42, color_intensity = 1.95, hue = 1.05, od280_od315_of_diluted_wines = 1.82, proline = 52",88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
1,13.49,1.66,24.0,"24.0, magnesium = 87, total_phenols = 1.88, flavanoids = 1.84, nonflavanoid_phenols = 0.27, proanthocyanins = 1.03, color_intensity = 3.74, hue = 0.98, od280_od315_of_diluted_wines = 2.78, proline = 47",87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714
2,12.45,3.03,27.0,"27.0, magnesium = 97.0, total_phenols = 1.9, flavanoids = 0.58, nonflavanoid_phenols = 0.63, proanthocyanins = 1.14, color_intensity = 7.5, hue = 0.67, od280_od315_of_diluted_wines = 1.73, proline = 88",97.0,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.20, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.20,2.53,0.26,1.77,3.9,1.16,3.14,714
2,12.47,1.52,19.0,"19.0, magnesium = 162, total_phenols = 2.50, flavanoids = 2.27, nonflavanoid_phenols = 0.32, proanthocyanins = 3.28, color_intensity = 2.60, hue = 1.16, od280_od315_of_diluted_wines = 2.63, proline = 93",162,2.50,2.27,0.32,3.28,2.60,1.16,2.63,937
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.78,3.43,20.0,"20.0, magnesium = 105.0, total_phenols = 1.25, flavanoids = 0.5, nonflavanoid_phenols = 0.38, proanthocyanins = 1.29, color_intensity = 6.9, hue = 1.07, od280_od315_of_diluted_wines = 3.21, proline = 63",105.0,1.25,0.5,0.38,1.29,6.9,1.07,3.21,630
2,12.37,1.63,24.5,"24.5, magnesium = 88.0, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
1,14.23,1.71,15.6,"15.6, magnesium = 127, total_phenols = 2.8, flavanoids = 3.06, nonflavanoid_phenols = 0.28, proanthocyanins = 2.29, color_intensity = 5.64, hue = 1.04, od280_od315_of_diluted_wines = 3.92, proline = 106",127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
1,13.16,2.36,18.6,"18.6, magnesium = 101, total_phenols = 2.8, flavanoids = 3.24, nonflavanoid_phenols = 0.3, proanthocyanins = 2.81, color_intensity = 5.68, hue = 1.03, od280_od315_of_diluted_wines = 3.17, proline = 118",101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.0, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510
2,12.33,0.99,14.8,"14.8, magnesium = 136.0, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.72,1.81,18.8,"18.8, magnesium = 86.0, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 714.",86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0
1,13.58,1.66,19.1,"19.1, magnesium = 106, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.90, hue = 1.09, od280_od315_of_diluted_wines = 2.88, proline = 151",106,2.86,3.19,0.22,1.95,6.90,1.09,2.88,1515
