Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender
43,Private,33331,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
20,Private,165804,Some-college,10,Never-married,Adm-clerical,Own-child,Other,Male
45,Private,146857,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
33,Local-gov,262042,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female
27,Private,211184,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male
29,Private,229656,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female
36,Private,203717,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male
45,Private,148995,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male
43,State-gov,345969,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
18,Private,208103,11th,7,Never-married,Other-service,Other-relative,White,Male
35,?,202683,Bachelors,13,Never-married,?,Not-in-family,White,Male
28,Private,196621,HS-grad,9,Married-spouse-absent,Tech-support,Not-in-family,White,Female
50,Private,93690,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
42,Private,37937,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
30,Private,178841,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male
20,?,141453,Some-college,10,Never-married,?,Own-child,White,Male
40,Private,326232,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male
32,Private,400535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
35,Private,233571,HS-grad,9,Divorced,Other-service,Own-child,White,Male
40,Private,124747,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female
25,?,335376,Bachelors,13,Never-married,?,Own-child,White,Male
40,Private,374137,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male
47,Self-emp-not-inc,177457,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male
37,Private,224541,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male
44,Private,267717,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
26,Private,248612,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male
41,Local-gov,575442,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
25,Self-emp-not-inc,266668,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male
42,State-gov,160369,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
28,Local-gov,197932,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
18,?,214989,Some-college,10,Never-married,?,Own-child,White,Male
44,Private,145160,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male
60,Private,239576,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male
17,Self-emp-inc,181608,10th,6,Never-married,Sales,Own-child,White,Male
31,Private,139753,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female
29,Private,107458,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
51,Private,90363,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male
46,Private,155654,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
26,Private,50103,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female
37,Private,66686,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
46,Private,428350,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Male
43,Private,160674,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female
22,Private,283499,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male
26,Private,195734,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male
20,Private,197997,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male
26,Private,55743,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female
33,Self-emp-inc,49795,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male
28,Private,221215,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male
24,Private,249351,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female
24,Private,181820,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
19,Local-gov,169853,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
27,Private,106758,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female
38,Private,357173,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
21,Private,27049,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
28,Private,180007,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male
26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male
18,?,97318,HS-grad,9,Never-married,?,Own-child,White,Male
19,Private,121074,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male
37,Federal-gov,470663,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male
27,Private,198286,Some-college,10,Never-married,Other-service,Not-in-family,White,Male
20,Private,194630,HS-grad,9,Never-married,Sales,Not-in-family,White,Male
32,Private,61898,11th,7,Divorced,Other-service,Unmarried,White,Female
61,Local-gov,144723,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
46,Private,139268,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
50,Federal-gov,176969,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male
41,Private,168293,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female
53,Private,23698,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
51,Private,138022,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
32,Self-emp-inc,191385,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male
48,Private,176140,11th,7,Divorced,Other-service,Unmarried,Black,Female
26,State-gov,105787,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male
35,Private,299353,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female
37,Private,221850,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
36,Private,94954,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male
34,Private,56150,11th,7,Never-married,Transport-moving,Unmarried,White,Male
48,Private,125933,Some-college,10,Widowed,Exec-managerial,Unmarried,Black,Female
63,Private,172740,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male
49,Private,191277,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male
51,Private,53197,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
42,Private,78765,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
28,Private,103802,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male
47,Local-gov,166863,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
65,Private,143175,Some-college,10,Widowed,Sales,Other-relative,White,Female
42,Private,87284,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
24,Private,214014,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male
20,Private,258298,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male
48,Private,105138,HS-grad,9,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female
45,Private,360393,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
48,Private,147860,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female
34,Private,106014,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
49,Private,144396,11th,7,Divorced,Exec-managerial,Not-in-family,White,Male
42,Self-emp-not-inc,170649,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male
19,Private,217769,Some-college,10,Never-married,Other-service,Own-child,White,Male
18,Private,118376,Some-college,10,Never-married,Other-service,Own-child,White,Male
34,Private,199539,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
28,Private,112403,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male
51,Private,189762,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female
53,Self-emp-inc,152810,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
49,Private,329603,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male
23,Private,249046,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
29,Private,31166,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Other,Female
30,Self-emp-inc,321990,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
31,State-gov,77634,Preschool,1,Never-married,Other-service,Not-in-family,White,Female
50,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
21,Private,265148,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male
43,Private,477983,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
26,Private,101027,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
25,Private,277444,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
35,Local-gov,162651,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male
48,?,266337,HS-grad,9,Married-civ-spouse,?,Husband,White,Male
23,Private,122346,HS-grad,9,Never-married,Sales,Own-child,White,Male
46,State-gov,178686,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
38,Private,189623,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
46,Private,337050,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
54,Private,172962,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
49,Self-emp-not-inc,181547,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male
44,Private,180985,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male
24,Private,165474,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
62,Private,162825,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
52,Private,174752,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
42,Private,230959,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female
28,Private,57066,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
50,Local-gov,139296,11th,7,Never-married,Craft-repair,Unmarried,White,Male
28,Private,38309,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male
59,Private,177120,9th,5,Married-civ-spouse,Other-service,Husband,White,Male
28,Private,288598,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
39,Private,216552,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male
25,?,126797,HS-grad,9,Married-spouse-absent,?,Not-in-family,White,Male
48,Private,102597,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female
53,Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male
47,State-gov,80282,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,Private,139822,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female
69,?,628797,Some-college,10,Widowed,?,Not-in-family,White,Female
44,Private,110396,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male
24,Private,153542,Some-college,10,Never-married,Sales,Other-relative,White,Male
46,Private,295566,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Female
54,Private,172281,Masters,14,Divorced,Tech-support,Not-in-family,White,Female
45,State-gov,252208,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female
23,Private,210474,Some-college,10,Never-married,Other-service,Own-child,White,Male
37,Private,112497,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,Private,342019,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male
34,Local-gov,229531,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,Private,326862,Some-college,10,Divorced,Craft-repair,Own-child,Black,Male
53,Local-gov,164300,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female
35,Self-emp-not-inc,190895,Masters,14,Married-civ-spouse,Sales,Husband,White,Male
57,Private,348430,1st-4th,2,Divorced,Craft-repair,Unmarried,White,Female
61,Private,98350,Preschool,1,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male
62,Private,197918,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female
47,Private,175990,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
44,Private,211759,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male
26,Private,322614,Preschool,1,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male
55,Private,171015,HS-grad,9,Widowed,Sales,Unmarried,White,Female
40,Private,184378,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
23,Private,139012,Assoc-voc,11,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male
34,?,133861,HS-grad,9,Married-civ-spouse,?,Husband,White,Male
19,?,61855,HS-grad,9,Never-married,?,Other-relative,White,Male
46,Private,321327,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male
49,Local-gov,288548,Masters,14,Separated,Prof-specialty,Unmarried,White,Female
21,Private,319163,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male
25,Private,479765,7th-8th,4,Never-married,Sales,Other-relative,White,Male
61,Private,120939,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male
27,Private,384308,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male
49,Private,31264,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female
39,Private,142707,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
17,Private,216086,11th,7,Never-married,Other-service,Own-child,White,Male
28,Private,303440,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Male
27,Private,367329,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male
60,Local-gov,204062,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
50,Private,176609,Some-college,10,Divorced,Other-service,Not-in-family,White,Male
57,Private,191983,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male
41,Private,310255,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
21,Private,179720,HS-grad,9,Never-married,Other-service,Other-relative,White,Female
41,Private,202872,10th,6,Married-spouse-absent,Craft-repair,Not-in-family,White,Male
49,Private,182752,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female
45,Private,126889,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
21,Private,189749,Some-college,10,Never-married,Sales,Own-child,White,Male
19,Private,138153,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
24,Private,112706,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male
45,Self-emp-not-inc,111679,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
23,Private,197904,HS-grad,9,Never-married,Other-service,Unmarried,White,Female
39,Private,126494,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female
21,Private,351381,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male
46,Self-emp-inc,285335,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
28,Private,119287,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female
36,Private,206951,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
45,Private,149640,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
43,Private,274363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
36,Private,111545,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
43,Private,110970,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
42,Private,202565,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
43,Private,227065,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male
47,Private,423222,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male
37,Private,205339,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male
44,Private,212888,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female
29,Private,59732,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male
52,Private,312477,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male
20,Local-gov,188950,Some-college,10,Never-married,Protective-serv,Own-child,White,Male
62,Self-emp-not-inc,102631,Some-college,10,Widowed,Farming-fishing,Unmarried,White,Female
30,Private,226665,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male
30,Private,342709,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
56,Self-emp-not-inc,95763,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
31,Private,209101,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
19,?,356717,Some-college,10,Never-married,?,Own-child,White,Male
37,Self-emp-not-inc,338320,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male
32,Private,107417,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male
28,Private,196690,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female
33,Private,194141,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
30,Private,33678,HS-grad,9,Never-married,Sales,Own-child,White,Male
30,Private,131588,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male
60,Private,83861,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
28,Private,96020,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male
26,Private,128553,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female
38,Private,100375,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
26,Private,164938,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
52,Private,284329,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
30,Local-gov,235271,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male
61,State-gov,186451,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
42,Private,96321,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
31,Private,119422,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
36,State-gov,166697,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female
46,Local-gov,238162,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male
51,Local-gov,264457,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
31,Private,129804,9th,5,Never-married,Farming-fishing,Not-in-family,White,Male
55,Private,115439,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male
38,Private,115336,HS-grad,9,Divorced,Other-service,Unmarried,White,Female
