Age,WorkClass,fnlwgt,Education,EducationNum,MaritalStatus,Occupation
32,?,216908,HS-grad,9,Married-civ-spouse,?
27,Private,153078,Prof-school,15,Never-married,Prof-specialty
34,Private,221324,HS-grad,9,Never-married,Craft-repair
31,Federal-gov,206823,Bachelors,13,Divorced,Adm_clerical
46,Federal-gov,78022,HS-grad,9,Married-civ-spouse,Adm-clerical
56,Private,143030,HS-grad,9,Divorced,Craft-repair
54,Private,169719,Bachelors,13,Married-civ-spouse,Exec-managerial
34,Private,226629,HS-grad,9,Never-married,Craft-repair
27,Private,86681,Bachelors,13,Never-married,Prof-specialty
58,Private,314153,HS-grad,9,Married-civ-spouse,Craft-repair
41,Private,193626,HS-grad,9,Married-spouse-absent,Machine-op-inspct
17,Private,78602,11th,7,Never-married,Sales
52,Private,128871,7th-8th,4,Divorced,Machine-op-inspct
33,Private,224141,HS-grad,9,Married-civ-spouse,Craft-repair
80,Private,86111,Doctorate,16,Married-civ-spouse,Prof-specialty
74,Self-emp-inc,162340,Some-college,10,Widowed,Exec-managerial
36,Local-gov,196529,Masters,14,Married-civ-spouse,Prof-specialty
57,Private,182677,Bachelors,13,Married-civ-spouse,Exec-managerial
53,?,64322,7th-8th,4,Separated,?
34,Local-gov,254270,Bachelors,13,Never-married,Adm-clerical
44,Private,225263,Some-college,10,Divorced,Exec-managerial
32,Private,163530,HS-grad,9,Divorced,Machine-op-inspct
24,Self-emp-not-inc,83374,Some-college,10,Never-married,Sales
46,Private,364548,Bachelors,13,Divorced,Exec-managerial
41,Federal-gov,186601,HS-grad,9,Separated,Adm-clerical
20,Federal-gov,147352,HS-grad,9,Never-married,Adm-clerical
41,Private,152529,Bachelors,13,Never-married,Prof-specialty
58,Self-emp-not-inc,35723,HS-grad,9,Married-civ-spouse,Craft-repair
37,Private,151835,Prof-school,15,Married-civ-spouse,Prof-specialty
51,Private,200576,Some-college,10,Divorced,Exec-managerial
36,Private,99146,HS-grad,9,Married-civ-spouse,Craft-repair
18,Private,212936,Some-college,10,Never-married,Sales
33,Self-emp-inc,132601,HS-grad,9,Married-civ-spouse,Exec-managerial
41,Private,155657,11th,7,Never-married,Machine-op-inspct
32,Federal-gov,191385,Assoc-acdm,12,Divorced,Adm-clerical
22,?,186452,Some-college,10,Never-married,?
25,Private,281627,Masters,14,Never-married,Prof-specialty
51,Local-gov,114508,9th,5,Separated,Adm-clerical
37,Private,265038,Some-college,10,Married-civ-spouse,Craft-repair
36,Private,126675,Masters,14,Married-civ-spouse,Prof-specialty
25,Private,240081,HS-grad,9,Never-married,Machine-op-inspct
51,Federal-gov,254211,Masters,14,Widowed,Prof-specialty
26,Self-emp-inc,66872,12th,8,Married-civ-spouse,Craft-repair
31,Private,309974,Bachelors,13,Separated,Prof-specialty
20,?,124954,Some-college,10,Never-married,?
58,Private,191069,HS-grad,9,Married-civ-spouse,Craft-repair
49,Federal-gov,105586,Assoc-voc,11,Married-civ-spouse,Exec-managerial
18,Private,157273,10th,6,Never-married,Other-service
43,Local-gov,231964,Some-college,10,Divorced,Adm-clerical
30,Private,157778,Some-college,10,Married-civ-spouse,Craft-repair
48,Private,272778,Some-college,10,Divorced,Exec-managerial
44,Self-emp-inc,133060,Some-college,10,Divorced,Exec-managerial
47,Private,151267,HS-grad,9,Married-civ-spouse,Craft-repair
41,Private,89226,HS-grad,9,Divorced,Adm-clerical
18,Private,83451,HS-grad,9,Never-married,Machine-op-inspct
18,Private,282609,5th-6th,3,Never-married,Other-service
25,Private,421467,Assoc-acdm,12,Never-married,Sales
46,Self-emp-inc,98929,Bachelors,13,Married-civ-spouse,Exec-managerial
61,Private,40269,Some-college,10,Married-civ-spouse,Exec-managerial
52,Local-gov,143533,7th-8th,4,Never-married,Other-service
39,Local-gov,229651,Bachelors,13,Married-civ-spouse,Adm-clerical
19,?,188618,Some-college,10,Never-married,?
40,Private,99373,10th,6,Divorced,Machine-op-inspct
36,Private,181705,11th,7,Married-civ-spouse,Craft-repair
27,Private,329426,Masters,14,Never-married,Prof-specialty
29,Local-gov,148182,HS-grad,9,Married-civ-spouse,Protective-serv
22,Local-gov,399020,Some-college,10,Never-married,Adm-clerical
41,Federal-gov,83411,HS-grad,9,Married-civ-spouse,Adm-clerical
30,Local-gov,319280,HS-grad,9,Married-civ-spouse,Protective-serv
40,Private,184682,Some-college,10,Divorced,Adm-clerical
37,Self-emp-not-inc,183735,HS-grad,9,Married-civ-spouse,Craft-repair
25,Private,110138,HS-grad,9,Never-married,Machine-op-inspct
32,Private,204567,Bachelors,13,Married-civ-spouse,Exec-managerial
41,Local-gov,195897,Masters,14,Married-civ-spouse,Prof-specialty
29,Private,137063,HS-grad,9,Never-married,Adm-clerical
49,Local-gov,102359,9th,5,Widowed,Other-service
40,State-gov,391736,Assoc-voc,11,Married-civ-spouse,Protective-serv
36,Private,100681,Some-college,10,Never-married,Sales
68,Private,208478,Masters,14,Married-civ-spouse,Exec-managerial
46,Private,192360,Bachelors,13,Married-civ-spouse,Exec-managerial
23,Private,160398,Some-college,10,Married-spouse-absent,Sales
53,Federal-gov,177647,HS-grad,9,Married-civ-spouse,Adm-clerical
24,Private,72310,Some-college,10,Never-married,Sales
34,Private,97723,Bachelors,13,Married-civ-spouse,Exec-managerial
37,Local-gov,128054,Some-college,10,Divorced,Adm-clerical
37,Self-emp-inc,257295,Some-college,10,Married-civ-spouse,Exec-managerial
22,Private,554317,9th,5,Married-spouse-absent,Other-service
27,Private,301302,Bachelors,13,Never-married,Prof-specialty
47,Private,83046,Bachelors,13,Never-married,Prof-specialty
51,Private,209912,Bachelors,13,Divorced,Exec-managerial
19,Private,186096,HS-grad,9,Never-married,Sales
18,Private,193166,9th,5,Never-married,Other-service
23,Private,224059,HS-grad,9,Married-civ-spouse,Craft-repair
77,?,152900,5th-6th,3,Married-civ-spouse,?
45,State-gov,32186,Bachelors,13,Separated,Prof-specialty
49,Self-emp-inc,213140,HS-grad,9,Married-civ-spouse,Exec-managerial
65,Private,274916,HS-grad,9,Widowed,Machine-op-inspct
32,Private,281540,Some-college,10,Married-civ-spouse,Craft-repair
59,Self-emp-inc,223215,Bachelors,13,Married-civ-spouse,Exec-managerial
41,Private,204046,HS-grad,9,Married-civ-spouse,Craft-repair
32,Private,231413,HS-grad,9,Married-civ-spouse,Craft-repair
27,Private,196044,Some-college,10,Married-civ-spouse,Craft-repair
53,Private,288353,Bachelors,13,Married-civ-spouse,Exec-managerial
39,Self-emp-not-inc,218490,Prof-school,15,Married-civ-spouse,Prof-specialty
33,Federal-gov,88913,Some-college,10,Never-married,Adm-clerical
59,Private,214865,HS-grad,9,Widowed,Adm-clerical
46,Private,127089,Some-college,10,Married-civ-spouse,Exec-managerial
50,Federal-gov,183611,Some-college,10,Never-married,Adm-clerical
30,Private,147921,Assoc-voc,11,Divorced,Craft-repair
33,Private,288840,HS-grad,9,Married-spouse-absent,Craft-repair
51,Private,175339,Bachelors,13,Married-civ-spouse,Exec-managerial
47,State-gov,149337,HS-grad,9,Divorced,Adm-clerical
33,Private,44392,HS-grad,9,Divorced,Adm-clerical
58,Private,227800,1st-4th,2,Separated,Machine-op-inspct
38,Private,165930,HS-grad,9,Married-civ-spouse,Craft-repair
45,Private,144579,Bachelors,13,Married-civ-spouse,Exec-managerial
19,Private,255161,HS-grad,9,Never-married,Sales
49,Local-gov,349633,Masters,14,Married-civ-spouse,Prof-specialty
17,?,341395,10th,6,Never-married,?
41,Private,224799,Some-college,10,Married-civ-spouse,Craft-repair
56,Self-emp-not-inc,53366,11th,7,Married-civ-spouse,Craft-repair
40,Private,119101,Some-college,10,Married-civ-spouse,Craft-repair
27,Private,245661,HS-grad,9,Separated,Machine-op-inspct
23,Private,193949,Bachelors,13,Never-married,Prof-specialty
47,Private,34458,HS-grad,9,Married-civ-spouse,Craft-repair
22,?,236330,Some-college,10,Never-married,?
49,Private,66385,HS-grad,9,Married-civ-spouse,Craft-repair
34,Self-emp-not-inc,313729,Bachelors,13,Married-civ-spouse,Exec-managerial
26,Private,57512,Assoc-voc,11,Never-married,Adm-clerical
44,Self-emp-not-inc,219591,Some-college,10,Married-civ-spouse,Exec-managerial
55,Private,156797,Some-college,10,Divorced,Exec-managerial
24,Private,73514,Some-college,10,Never-married,Sales
25,Private,164938,HS-grad,9,Never-married,Machine-op-inspct
70,Private,405362,7th-8th,4,Widowed,Other-service
31,Private,178370,HS-grad,9,Divorced,Adm-clerical
54,?,172991,HS-grad,9,Married-civ-spouse,?
29,Self-emp-not-inc,109001,Some-college,10,Married-civ-spouse,Craft-repair
53,Private,251063,Some-college,10,Separated,Sales
34,Self-emp-inc,114733,Assoc-acdm,12,Married-civ-spouse,Exec-managerial
67,Private,233022,11th,7,Widowed,Machine-op-inspct
34,Private,143083,Assoc-voc,11,Married-civ-spouse,Craft-repair
36,Private,174938,Bachelors,13,Divorced,Exec-managerial
59,State-gov,303176,Some-college,10,Married-civ-spouse,Protective-serv
19,?,440417,Some-college,10,Never-married,?
30,State-gov,137613,Masters,14,Married-civ-spouse,Prof-specialty
49,?,202874,HS-grad,9,Separated,?
33,Federal-gov,29617,Some-college,10,Divorced,Adm-clerical
59,Private,227386,10th,6,Married-civ-spouse,Craft-repair
63,Private,181863,Bachelors,13,Never-married,Prof-specialty
19,?,356717,Some-college,10,Never-married,?
30,Private,130369,Assoc-voc,11,Separated,Machine-op-inspct
45,Local-gov,132563,Prof-school,15,Divorced,Prof-specialty
45,Private,61751,HS-grad,9,Married-civ-spouse,Craft-repair
29,Self-emp-not-inc,241431,HS-grad,9,Never-married,Craft-repair
25,Private,374163,12th,8,Married-civ-spouse,Machine-op-inspct
42,Private,135056,Some-college,10,Married-civ-spouse,Exec-managerial
54,Private,103700,HS-grad,9,Widowed,Adm-clerical
45,Private,84298,Assoc-voc,11,Married-civ-spouse,Craft-repair
49,Private,209146,HS-grad,9,Married-civ-spouse,Craft-repair
29,Private,185019,12th,8,Never-married,Craft-repair
41,Federal-gov,214838,Masters,14,Married-civ-spouse,Prof-specialty
36,Private,254202,HS-grad,9,Divorced,Craft-repair
39,Private,107302,HS-grad,9,Married-civ-spouse,Craft-repair
55,Private,175942,HS-grad,9,Divorced,Craft-repair
32,Private,36302,Some-college,10,Married-civ-spouse,Craft-repair
46,Private,186078,Some-college,10,Never-married,Exec-managerial
36,Private,334291,HS-grad,9,Married-civ-spouse,Craft-repair
23,Private,284898,Some-college,10,Never-married,Sales
48,Self-emp-not-inc,309895,Some-college,10,Divorced,Exec-managerial
51,Federal-gov,198186,Bachelors,13,Widowed,Adm-clerical
31,Private,124420,11th,7,Married-civ-spouse,Machine-op-inspct
49,Local-gov,298445,Prof-school,15,Married-civ-spouse,Prof-specialty
32,Self-emp-not-inc,182691,HS-grad,9,Never-married,Craft-repair
35,Private,331395,Some-college,10,Never-married,Sales
39,Private,316211,HS-grad,9,Married-civ-spouse,Craft-repair
30,Private,252646,Some-college,10,Separated,Adm-clerical
25,Private,181528,Masters,14,Never-married,Prof-specialty
32,Private,252752,Masters,14,Never-married,Prof-specialty
46,Private,111979,7th-8th,4,Married-civ-spouse,Craft-repair
24,Private,191948,HS-grad,9,Divorced,Adm-clerical
51,Local-gov,182985,HS-grad,9,Married-civ-spouse,Craft-repair
20,Private,157595,Some-college,10,Never-married,Sales
83,?,251951,HS-grad,9,Widowed,?
37,Private,103121,Bachelors,13,Married-civ-spouse,Exec-managerial
43,Local-gov,293535,Bachelors,13,Married-civ-spouse,Prof-specialty
21,?,206681,11th,7,Married-civ-spouse,?
34,Private,346034,Bachelors,13,Never-married,Prof-specialty
35,Private,153535,HS-grad,9,Divorced,Craft-repair
24,Private,33016,Some-college,10,Never-married,Sales
40,Private,145178,Some-college,10,Divorced,Exec-managerial
47,Self-emp-inc,207540,7th-8th,4,Married-civ-spouse,Craft-repair
47,Self-emp-not-inc,249585,Some-college,10,Married-civ-spouse,Exec-managerial
28,Private,190067,Bachelors,13,Never-married,Prof-specialty
35,Self-emp-not-inc,120066,Some-college,10,Married-civ-spouse,Exec-managerial
41,Self-emp-inc,423217,Bachelors,13,Divorced,Exec-managerial
19,Private,196857,HS-grad,9,Never-married,Sales
36,Local-gov,357720,Assoc-voc,11,Never-married,Adm-clerical
44,Private,197462,HS-grad,9,Married-civ-spouse,Craft-repair
31,Private,279015,Masters,14,Married-civ-spouse,Prof-specialty
32,Private,207113,10th,6,Divorced,Machine-op-inspct
50,Private,485710,Doctorate,16,Divorced,Prof-specialty
64,Self-emp-not-inc,192695,5th-6th,3,Married-civ-spouse,Farming-fishing
40,Private,202872,Some-college,10,Divorced,Exec-managerial
72,Private,426562,11th,7,Divorced,Machine-op-inspct
24,Private,128061,HS-grad,9,Never-married,Machine-op-inspct
27,Private,166210,HS-grad,9,Divorced,Adm-clerical
49,Private,183013,HS-grad,9,Married-civ-spouse,Craft-repair
27,Private,129528,Some-college,10,Never-married,Sales
28,Self-emp-not-inc,33363,HS-grad,9,Married-civ-spouse,Craft-repair
43,Local-gov,174491,HS-grad,9,Divorced,Adm-clerical
72,Private,183616,HS-grad,9,Married-civ-spouse,Exec-managerial
47,?,174525,HS-grad,9,Married-civ-spouse,?
55,Private,157079,Some-college,10,Married-civ-spouse,Exec-managerial
